"","Name","Description"
"38","ENSG00000205116.3","TMEM88B"
"932","ENSG00000243480.3","AMY2A"
"2139","ENSG00000084710.9","EFR3B"
"5147","ENSG00000215217.2","C5orf49"
"5414","ENSG00000152422.11","XRCC4"
"5892","ENSG00000182230.7","FAM153B"
"5932","ENSG00000204677.6","FAM153C"
"6235","ENSG00000213780.6","GTF2H4"
"6264","ENSG00000204463.8","BAG6"
"8472","ENSG00000155897.5","ADCY8"
"8720","ENSG00000186638.11","KIF24"
"9253","ENSG00000165695.5","AK8"
"9616","ENSG00000099290.11","FAM21A"
"11527","ENSG00000171847.6","FAM90A1"
"14313","ENSG00000175267.10","VWA3A"
"14952","ENSG00000167840.9","ZNF232"
"15298","ENSG00000154768.4","C17orf50"
"15683","ENSG00000183691.4","NOG"
"15793","ENSG00000108932.7","SLC16A6"
"15804","ENSG00000153822.9","KCNJ16"
"16369","ENSG00000104897.5","SF3A2"
"17034","ENSG00000171777.11","RASGRP4"
"17071","ENSG00000090932.6","DLL3"
"17182","ENSG00000159871.10","LYPD5"
"17313","ENSG00000105479.11","CCDC114"
"18353","ENSG00000159267.10","HLCS"
"18678","ENSG00000100225.13","FBXO7"
"19022","ENSG00000130741.6","EIF2S3"
