"","description","mse","rsq"
"ENSG00000101187.11","SLCO4A1",0.016793194402241,0.703232786499747
"ENSG00000096060.10","FKBP5",0.00358561616936758,0.77853540549294
"ENSG00000077238.9","IL4R",0.0119691154633076,0.602172643673049
"ENSG00000184557.3","SOCS3",0.000236099714098144,0.714987696653934
"ENSG00000101276.10","SLC52A3",0.00554754668102381,0.572925364599531
"ENSG00000144837.4","PLA1A",0.00215777320385337,0.638447625312376
"ENSG00000197142.6","ACSL5",0.00629536940793216,0.55791268075345
"ENSG00000149573.4","MPZL2",0.000101362717033197,0.590757149538174
"ENSG00000243509.4","TNFRSF6B",0.0058289105415774,0.63102332364817
"ENSG00000108312.10","UBTF",4.93572370683131e-08,0.414010894899344
